Timestamp,Ticker,Weighted_Score,Polarized_Score,Articles_Count
2026-06-26 12:03:28,AUBANK.NS,0.8,1.0,5
2026-06-26 12:03:51,SAIL.NS,0.4,1.0,5
2026-06-26 12:03:58,SUZLON.NS,0.2,1.0,5
2026-06-26 12:04:02,RVNL.NS,0.75,1.0,4
2026-06-26 12:04:05,IRFC.NS,1.0,1.0,4
2026-06-26 12:04:09,NHPC.NS,0.6,1.0,5
2026-06-26 12:04:13,SJVN.NS,0.75,1.0,4
2026-06-26 12:04:16,NBCC.NS,0.6,1.0,5
2026-06-26 12:04:39,RITES.NS,1.0,1.0,4
2026-06-26 12:04:46,IRCON.NS,1.0,1.0,1
2026-06-26 12:04:50,RADICO.NS,0.2,0.33,5
2026-06-26 12:05:00,IDEA.NS,0.0,0.0,5
2026-06-26 12:05:07,JIOFIN.NS,0.4,1.0,5
2026-06-26 12:05:18,AAPL,-0.4,-0.57,20
2026-06-26 12:05:22,MSFT,-0.32,-0.6,19
2026-06-26 12:05:26,GOOGL,-0.25,-0.45,20
2026-06-26 12:05:31,TSLA,0.05,0.11,20
2026-06-26 12:05:35,NVDA,0.15,0.33,20
2026-06-26 12:05:38,^NSEI,0.25,1.0,4
2026-06-26 12:05:42,^GSPC,-0.3,-0.75,20
2026-06-26 12:05:47,^IXIC,-0.35,-0.64,20
2026-06-26 12:05:50,USO,0.14,0.14,7
2026-06-27 10:33:21,TCS.NS,0.0,0.0,1
2026-06-27 10:33:31,INFY.NS,-1.0,-1.0,1
2026-06-27 10:33:35,ITC.NS,0.67,1.0,3
2026-06-27 10:33:38,SBIN.NS,0.5,1.0,2
2026-06-27 10:33:45,LT.NS,0.4,0.5,5
2026-06-27 10:33:56,TMCV.NS,0.6,1.0,5
2026-06-27 10:34:06,TITAN.NS,-0.25,-0.33,4
2026-06-27 10:34:16,NTPC.NS,0.8,1.0,5
2026-06-27 10:34:20,ONGC.NS,1.0,1.0,1
2026-06-27 10:34:27,WIPRO.NS,1.0,1.0,1
2026-06-27 10:34:43,GRASIM.NS,0.6,1.0,5
2026-06-27 10:34:47,TECHM.NS,0.6,1.0,5
2026-06-27 10:34:54,RECLTD.NS,0.0,0.0,1
2026-06-27 10:34:57,PFC.NS,0.67,1.0,3
2026-06-27 10:35:11,BHEL.NS,0.5,1.0,4
2026-06-27 10:35:14,TRENT.NS,0.5,1.0,2
2026-06-27 10:35:22,VOLTAS.NS,0.0,0.0,4
2026-06-27 10:35:25,LUPIN.NS,1.0,1.0,1
2026-06-27 10:35:29,AUBANK.NS,0.8,1.0,5
2026-06-27 10:35:53,SAIL.NS,0.4,1.0,5
2026-06-27 10:36:00,SUZLON.NS,0.2,1.0,5
2026-06-27 10:36:03,RVNL.NS,0.75,1.0,4
2026-06-27 10:36:07,IRFC.NS,1.0,1.0,4
2026-06-27 10:36:10,NHPC.NS,0.6,1.0,5
2026-06-27 10:36:14,SJVN.NS,0.75,1.0,4
2026-06-27 10:36:17,NBCC.NS,0.6,1.0,5
2026-06-27 10:36:41,RITES.NS,1.0,1.0,4
2026-06-27 10:36:48,IRCON.NS,1.0,1.0,1
2026-06-27 10:36:52,RADICO.NS,0.2,0.33,5
2026-06-27 10:37:02,IDEA.NS,0.0,0.0,5
2026-06-27 10:37:09,JIOFIN.NS,0.4,1.0,5
2026-06-27 10:37:20,AAPL,-0.35,-0.78,20
2026-06-27 10:37:24,MSFT,-0.4,-0.8,20
2026-06-27 10:37:28,GOOGL,-0.05,-0.2,20
2026-06-27 10:37:33,TSLA,0.15,0.43,20
2026-06-27 10:37:37,NVDA,-0.1,-0.5,20
2026-06-27 10:37:41,^NSEI,0.25,1.0,4
2026-06-27 10:37:45,^GSPC,-0.25,-1.0,20
2026-06-27 10:37:49,^IXIC,-0.15,-0.33,20
2026-06-27 10:37:53,USO,-0.33,-0.33,9
2026-06-28 10:55:57,TCS.NS,-0.6,-1.0,5
2026-06-28 10:56:07,INFY.NS,-1.0,-1.0,1
2026-06-28 10:56:11,ITC.NS,0.67,1.0,3
2026-06-28 10:56:14,SBIN.NS,0.0,0.0,1
2026-06-28 10:56:21,LT.NS,0.4,0.5,5
2026-06-28 10:56:32,TMCV.NS,0.6,1.0,5
2026-06-28 10:56:42,TITAN.NS,-0.25,-0.33,4
2026-06-28 10:56:52,NTPC.NS,0.8,1.0,5
2026-06-28 10:56:56,ONGC.NS,0.6,1.0,5
